MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
euro_champs,NA,Adam Steele,IRL,13.7,13.6,12.3,14.433,13.033,80.332,NA,NA,NA,NA,NA,NA
euro_champs,NA,Robert Kirmes,FIN,13.766,11.8,13.5,13.866,13.466,80.231,NA,NA,NA,NA,NA,NA
euro_champs,NA,Léo Saladino,FRA,14.1,13.233,13.633,14.4,11.433,80.099,NA,NA,NA,NA,NA,NA
euro_champs,NA,Uri Zeidel,ISR,13.366,13.4,13.566,13.9,12.366,79.931,NA,NA,NA,NA,NA,NA
euro_champs,NA,Lorenzo Casali,ITA,12.9,13.066,13.666,13.2,12.666,79.531,NA,NA,NA,NA,NA,NA
euro_champs,NA,Levan Skhiladze,GEO,12.6,14.266,13.4,12.933,12.766,79.498,NA,NA,NA,NA,NA,NA
euro_champs,NA,David Rumbutis,SWE,13.533,11.4,13.366,13.533,13.5,79.465,NA,NA,NA,NA,NA,NA
euro_champs,NA,Jim Zona,FRA,14.066,11.6,13.1,13.533,13.133,79.132,NA,NA,NA,NA,NA,NA
euro_champs,NA,Gagik Khachikyan,ARM,13.366,14.6,12.466,13.7,12.366,79.131,NA,NA,NA,NA,NA,NA
euro_champs,NA,Gytis Chasazyrovas,LTU,13.9,13.733,12.766,13,12.8,79.099,NA,NA,NA,NA,NA,NA
euro_champs,NA,Antonios Tantalidis,GRC,13.266,13.666,12.433,14.3,12.033,78.698,NA,NA,NA,NA,NA,NA
euro_champs,NA,Luka van den Keybus,BEL,13.6,12.266,12.9,12.866,12.833,78.665,NA,NA,NA,NA,NA,NA
euro_champs,NA,Valgard Reinhardsson,ISL,13.466,12.4,12.566,13.933,12.866,78.297,NA,NA,NA,NA,NA,NA
euro_champs,NA,Christian Baumann,CHE,12.9,12.133,13.4,13.2,12.366,77.999,NA,NA,NA,NA,NA,NA
euro_champs,NA,Jermain Grünberg,NLD,11.966,12.5,12.933,13.833,12.7,77.998,NA,NA,NA,NA,NA,NA
euro_champs,NA,Erik Baghdasaryan,ARM,12.533,12.5,13.166,14,12.8,77.665,NA,NA,NA,NA,NA,NA
euro_champs,NA,Guilherme Campos,PRT,13.766,12.133,12.9,13.8,12.066,77.431,NA,NA,NA,NA,NA,NA
euro_champs,NA,Ilia Liubimov,ISR,13.233,14.266,12.6,13.8,10.366,77.398,NA,NA,NA,NA,NA,NA
euro_champs,NA,Sebastian Gawronski,POL,14.033,10.833,12.9,13.9,12.666,77.365,NA,NA,NA,NA,NA,NA
euro_champs,NA,Harald Wibye,NOR,12.6,12.633,12.8,12.733,13.266,77.132,NA,NA,NA,NA,NA,NA
euro_champs,NA,Botond Molnar,HUN,13.633,11.633,13.166,13.1,12.933,77.065,NA,NA,NA,NA,NA,NA
euro_champs,NA,Kacper Garnczarek,POL,13.3,12.366,12.133,13.966,13.166,76.964,NA,NA,NA,NA,NA,NA
euro_champs,NA,Askhab Matiev,AUT,13.7,12.466,11.633,13.466,12.666,76.931,NA,NA,NA,NA,NA,NA
euro_champs,NA,Daniel Radovesnicky,CZE,12.866,12.333,12.5,13.366,12.7,76.931,NA,NA,NA,NA,NA,NA
euro_champs,NA,Petar Vefic,SRB,13.3,11.466,12.7,13.8,13.066,76.631,NA,NA,NA,NA,NA,NA
euro_champs,NA,Marcus Stenberg,SWE,12.633,11.533,13.066,13.4,13.266,76.631,NA,NA,NA,NA,NA,NA
euro_champs,NA,Ricardo Rudy,AUT,13.4,12.233,12.466,13.8,11.966,76.498,NA,NA,NA,NA,NA,NA
euro_champs,NA,Dagur Olafsson,ISL,12.5,13.966,12.066,13.866,10.7,76.464,NA,NA,NA,NA,NA,NA
euro_champs,NA,Nicolas Ivkic,AUT,12.833,12.9,12.466,14.433,11.566,76.431,NA,NA,NA,NA,NA,NA
euro_champs,NA,Benedek Tomcsanyi,HUN,13.433,10.966,13.266,13.733,13,76.164,NA,NA,NA,NA,NA,NA
euro_champs,NA,Ivan TIkhonov,AZE,13.433,13.866,13.133,13.1,13.333,76.131,NA,NA,NA,NA,NA,NA
euro_champs,NA,Joe Fraser,GBR,12.5,10,13.566,13.9,13.866,76.098,NA,NA,NA,NA,NA,NA
euro_champs,NA,Bozhidar Zlatanov,BGR,13,11.733,13.166,12.766,12.733,76.098,NA,NA,NA,NA,NA,NA
euro_champs,NA,Kevin Penev,BGR,13.9,13.166,11.9,13.1,12.766,75.898,NA,NA,NA,NA,NA,NA
euro_champs,NA,Oliver Kasala,SVK,12.766,12.8,10.866,13,12.866,75.731,NA,NA,NA,NA,NA,NA
euro_champs,NA,Michalis Chari,CYP,13.9,10.933,12.733,13.8,11.333,75.599,NA,NA,NA,NA,NA,NA
euro_champs,NA,Kevin Buckley,SVN,11.3,13.1,12.666,13.4,13.133,75.565,NA,NA,NA,NA,NA,NA
euro_champs,NA,Daniel Fox,IRL,13.3,12.333,13.166,12.266,12.466,75.464,NA,NA,NA,NA,NA,NA
euro_champs,NA,Nicholas Tarca,ROU,13.6,12.4,11.4,14.266,11,75.032,NA,NA,NA,NA,NA,NA
euro_champs,NA,Volodymyr Otreshko,SVK,12.1,13.033,11.866,13.2,11.733,74.965,NA,NA,NA,NA,NA,NA
euro_champs,NA,Tomas Kuzmickas,LTU,11.4,12.733,11.466,12.9,12.966,74.931,NA,NA,NA,NA,NA,NA
euro_champs,NA,Alkinoos Graikos,GRC,11.9,13,11.866,13.466,12.4,74.065,NA,NA,NA,NA,NA,NA
euro_champs,NA,Razvan-Denis Marc,ROU,11.9,12.766,11.8,12.833,12.166,74.031,NA,NA,NA,NA,NA,NA
euro_champs,NA,Daniel Bago,CZE,13.266,10.666,12.3,13.666,12.866,73.864,NA,NA,NA,NA,NA,NA
euro_champs,NA,Peder Skogvang,NOR,13.033,10.9,12.9,14.133,11.833,73.732,NA,NA,NA,NA,NA,NA
euro_champs,NA,Jose Nogueira,PRT,11,12.5,12.133,13.466,11.733,73.132,NA,NA,NA,NA,NA,NA
euro_champs,NA,Dominick Cunningham,IRL,13.866,10.5,11.566,14.6,11.5,72.765,NA,NA,NA,NA,NA,NA
euro_champs,NA,Victor Martinez,BEL,13.433,10.333,10.233,14.566,12.066,72.297,NA,NA,NA,NA,NA,NA
euro_champs,NA,Bernardo Almeida,PRT,12.166,10.533,12.433,12.8,12.6,72.232,NA,NA,NA,NA,NA,NA
euro_champs,NA,Martin Gudmundsson,ISL,12,9.1,12.4,13.6,12.833,71.999,NA,NA,NA,NA,NA,NA
euro_champs,NA,Rasul Ahmadzada,AZE,12.333,11.966,11.566,13.133,11.366,71.297,NA,NA,NA,NA,NA,NA
euro_champs,NA,Joakim Lenberg,SWE,11.7,11.433,11,12.866,12.433,70.532,NA,NA,NA,NA,NA,NA
euro_champs,NA,Daniel Trifonov,BGR,13.266,9.766,11.366,13.1,11.266,70.364,NA,NA,NA,NA,NA,NA
euro_champs,NA,Nicolau Mir,ESP,14.233,NA,13.266,13.7,13.5,68.965,NA,NA,NA,NA,NA,NA
euro_champs,NA,Nazar Chepurnyi,UKR,13.566,12.9,NA,14.8,12.6,68.566,NA,NA,NA,NA,NA,NA
euro_champs,NA,Emre Dodanli,TUR,13.733,11.9,NA,14.3,14.033,67.866,NA,NA,NA,NA,NA,NA
euro_champs,NA,Thierno Diallo,ESP,11.766,13.8,12.966,14.066,NA,67.098,NA,NA,NA,NA,NA,NA
euro_champs,NA,Matteo Levantesi,ITA,12.1,12.9,13.6,NA,13.866,66.666,NA,NA,NA,NA,NA,NA
euro_champs,NA,Axel Breche,FRA,12.666,13.733,12.6,14.166,13.266,66.431,NA,NA,NA,NA,NA,NA
euro_champs,NA,Radomyr Stelmakh,UKR,13.1,14.166,13.033,NA,12.633,66.398,NA,NA,NA,NA,NA,NA
euro_champs,NA,Apostolos Kanellos,GRC,12.266,13.1,NA,13,13.4,64.866,NA,NA,NA,NA,NA,NA
euro_champs,NA,Amine Abaidi,NLD,12.433,12.966,NA,14.433,12.9,65.732,NA,NA,NA,NA,NA,NA
euro_champs,NA,Alexis Blin,FRA,12.266,13.2,NA,13.8,13.266,65.732,NA,NA,NA,NA,NA,NA
euro_champs,NA,Georgios Angonas,CYP,12.666,11.966,NA,13.966,11.966,64.297,NA,NA,NA,NA,NA,NA
euro_champs,NA,Martin Pospisil,CZE,12.466,NA,12.5,13.633,12.9,64.199,NA,NA,NA,NA,NA,NA
euro_champs,NA,Mert Efe Kilicer,TUR,12.5,12.7,NA,13.733,12.2,64.066,NA,NA,NA,NA,NA,NA
euro_champs,NA,Murad Agharzayev,AZE,12.766,12.133,12.366,13.633,NA,62.364,NA,NA,NA,NA,NA,NA
euro_champs,NA,Akseli Karsikas,FIN,13.533,9.266,13.266,NA,14.133,60.731,NA,NA,NA,NA,NA,NA
euro_champs,NA,Miroslav Durak,CZE,11.666,10.866,12.333,12.8,NA,59.865,NA,NA,NA,NA,NA,NA
euro_champs,NA,Mario Macchiati,ITA,NA,13.933,NA,14.4,13.6,56.433,NA,NA,NA,NA,NA,NA
euro_champs,NA,Noe Seifert,CHE,NA,14.166,13.133,NA,14.166,56.198,NA,NA,NA,NA,NA,NA
euro_champs,NA,James Hall,GBR,13.8,13.9,NA,NA,12.966,54.999,NA,NA,NA,NA,NA,NA
euro_champs,NA,Kerem Sener,TUR,NA,NA,13.466,14.3,13.066,54.698,NA,NA,NA,NA,NA,NA
euro_champs,NA,Taha Serhani,CHE,13.266,NA,NA,14.233,14.033,54.598,NA,NA,NA,NA,NA,NA
euro_champs,NA,Pavel Gulidov,ISR,13,NA,13.433,14.2,NA,54.133,NA,NA,NA,NA,NA,NA
euro_champs,NA,Carlo Hörr,DEU,13.133,NA,13.4,NA,13.366,53.699,NA,NA,NA,NA,NA,NA
euro_champs,NA,Andreas Toba,DEU,NA,12.6,13.833,NA,13.733,53.632,NA,NA,NA,NA,NA,NA
euro_champs,NA,Rick Jacobs,NLD,12.533,NA,13.233,14.266,13.366,53.398,NA,NA,NA,NA,NA,NA
euro_champs,NA,Nikolaos Iliopoulos,GRC,NA,NA,12.766,13.566,13.533,53.398,NA,NA,NA,NA,NA,NA
euro_champs,NA,Noah Kuavita,BEL,13.666,12.7,NA,NA,12.2,52.766,NA,NA,NA,NA,NA,NA
euro_champs,NA,Yordan Aleksandrov,BGR,NA,12.033,12.966,NA,13.266,52.031,NA,NA,NA,NA,NA,NA
euro_champs,NA,Agust Davidsson,ISL,13.566,NA,12.633,NA,10.866,49.831,NA,NA,NA,NA,NA,NA
euro_champs,NA,Joar Amblie,NOR,NA,10.633,NA,14.1,12.3,48.899,NA,NA,NA,NA,NA,NA
euro_champs,NA,Glen Cuyle,BEL,3.333,NA,14.5,14.133,NA,45.466,NA,NA,NA,NA,NA,NA
euro_champs,NA,Unai Baigorri,ESP,14.166,13.733,NA,13.933,NA,41.832,NA,NA,NA,NA,NA,NA
euro_champs,NA,Luca Giubellini,CHE,13.166,13.9,NA,14.6,NA,41.666,NA,NA,NA,NA,NA,NA
euro_champs,NA,Luke Whitehouse,GBR,14.766,NA,NA,14.4,NA,41.032,NA,NA,NA,NA,NA,NA
euro_champs,NA,Marco Lodadio,ITA,12.666,NA,14.6,13.4,NA,40.666,NA,NA,NA,NA,NA,NA
euro_champs,NA,Mehmet Ayberk Kosak,TUR,13.433,12.466,14.466,NA,NA,40.365,NA,NA,NA,NA,NA,NA
euro_champs,NA,Milan Hosseini,DEU,13.9,11.6,NA,14.433,NA,39.933,NA,NA,NA,NA,NA,NA
euro_champs,NA,Neofytos Kyriakou,CYP,13.566,NA,NA,14.2,12,39.766,NA,NA,NA,NA,NA,NA
euro_champs,NA,Filip Lidbeck,SWE,13.466,NA,NA,13.933,NA,39.665,NA,NA,NA,NA,NA,NA
euro_champs,NA,Loran de Munck,NLD,NA,15,13.033,NA,NA,39.599,NA,NA,NA,NA,NA,NA
euro_champs,NA,Gabriel Eichhorn,DEU,13.366,NA,NA,NA,13.733,39.499,NA,NA,NA,NA,NA,NA
euro_champs,NA,Marcelo Marques,PRT,12.4,13.5,NA,12.866,NA,38.766,NA,NA,NA,NA,NA,NA
euro_champs,NA,Emilian Neagu,ROU,12.933,NA,12.133,13.5,NA,38.566,NA,NA,NA,NA,NA,NA
euro_champs,NA,Maxime Gentges,BEL,NA,12.8,13,NA,12.466,38.266,NA,NA,NA,NA,NA,NA
euro_champs,NA,Paul Schmölzer,AUT,NA,12.333,NA,14.133,11.366,37.832,NA,NA,NA,NA,NA,NA
euro_champs,NA,Szilard Zavory,HUN,NA,NA,12.866,12.9,11.966,37.732,NA,NA,NA,NA,NA,NA
euro_champs,NA,Luis Il-Sung Melander,SWE,NA,11.533,13.566,NA,12.3,37.399,NA,NA,NA,NA,NA,NA
euro_champs,NA,Saba Abesadze,GEO,NA,13.166,12.133,NA,NA,36.632,NA,NA,NA,NA,NA,NA
euro_champs,NA,Mansum Safarov,AZE,12.933,NA,NA,13.333,10.2,36.466,NA,NA,NA,NA,NA,NA
euro_champs,NA,David Bickel,AUT,11.6,NA,12.333,NA,NA,36.266,NA,NA,NA,NA,NA,NA
euro_champs,NA,Igor Radivilov,UKR,NA,NA,14.433,14.833,NA,29.266,NA,NA,NA,NA,NA,NA
euro_champs,NA,Harry Hepworth,GBR,NA,NA,14.4,14.633,NA,29.033,NA,NA,NA,NA,NA,NA
euro_champs,NA,Robert Tvorogal,LTU,NA,NA,NA,NA,14.533,28.266,NA,NA,NA,NA,NA,NA
euro_champs,NA,Cameron-Lie Bernard,FRA,NA,NA,13.133,NA,NA,27.799,NA,NA,NA,NA,NA,NA
euro_champs,NA,Alexander Myakinin,ISR,NA,13.333,NA,NA,14.333,27.666,NA,NA,NA,NA,NA,NA
euro_champs,NA,Niklas Syverhuset,NOR,13.766,NA,13.333,NA,NA,27.099,NA,NA,NA,NA,NA,NA
euro_champs,NA,Martijn de Veer,NLD,13.333,NA,NA,NA,13.6,26.933,NA,NA,NA,NA,NA,NA
euro_champs,NA,Ricards Plate,LVA,13.066,NA,NA,13.266,NA,26.332,NA,NA,NA,NA,NA,NA
euro_champs,NA,Luca Murabito,CHE,13.5,NA,NA,13.033,NA,26.533,NA,NA,NA,NA,NA,NA
euro_champs,NA,Aurel Benovic,HRV,13.8,NA,NA,12.6,NA,26.4,NA,NA,NA,NA,NA,NA
euro_champs,NA,Daniel Carrion,ESP,NA,13.1,NA,NA,12.6,25.7,NA,NA,NA,NA,NA,NA
euro_champs,NA,Dimitar Dimitrov,BGR,12.7,NA,NA,12.866,NA,25.566,NA,NA,NA,NA,NA,NA
euro_champs,NA,Toma Modoianu-Zseder,ROU,NA,11.7,13.4,NA,NA,25.1,NA,NA,NA,NA,NA,NA
euro_champs,NA,Luis Lechaud,PRT,NA,NA,12.266,NA,NA,24.732,NA,NA,NA,NA,NA,NA
euro_champs,NA,Atli Valgeirsson,ISL,NA,11.033,NA,13.4,NA,24.433,NA,NA,NA,NA,NA,NA
euro_champs,NA,Ioane Jimsheleishvili,GEO,12.4,NA,NA,NA,12,24.4,NA,NA,NA,NA,NA,NA
euro_champs,NA,Nicolae Bera,ROU,10.6,NA,NA,NA,12.366,22.966,NA,NA,NA,NA,NA,NA
euro_champs,NA,Nicola Cuyle,BEL,NA,10.833,NA,NA,NA,22.266,NA,NA,NA,NA,NA,NA
euro_champs,NA,Liam Rabic,HRV,NA,14.1,NA,NA,7.1,21.2,NA,NA,NA,NA,NA,NA
euro_champs,NA,Rhys McClenaghan,IRL,NA,15.133,NA,NA,NA,15.133,NA,NA,NA,NA,NA,NA
euro_champs,NA,Artur Davtyan,ARM,NA,NA,NA,15.1,NA,15.1,NA,NA,NA,NA,NA,NA
euro_champs,NA,Eleftherios Petrounias,GRC,NA,NA,14.966,NA,NA,14.966,NA,NA,NA,NA,NA,NA
euro_champs,NA,Vinzenz Höck,AUT,NA,NA,14.9,NA,NA,14.9,NA,NA,NA,NA,NA,NA
euro_champs,NA,Filip Ude,HRV,NA,14.766,NA,NA,NA,14.766,NA,NA,NA,NA,NA,NA
euro_champs,NA,Salvatore Maresca,ITA,NA,NA,14.766,NA,NA,14.766,NA,NA,NA,NA,NA,NA
euro_champs,NA,Ibrahim Colak,TUR,NA,NA,14.666,NA,NA,14.666,NA,NA,NA,NA,NA,NA
euro_champs,NA,Artur Avetisyan,ARM,NA,NA,14.633,NA,NA,14.633,NA,NA,NA,NA,NA,NA
euro_champs,NA,Nikita Simonov,AZE,NA,NA,14.633,NA,NA,14.633,NA,NA,NA,NA,NA,NA
euro_champs,NA,Joona Reiman,FIN,NA,NA,NA,14.5,NA,14.5,NA,NA,NA,NA,NA,NA
euro_champs,NA,Tin Srbic,HRV,NA,NA,NA,NA,14.333,14.333,NA,NA,NA,NA,NA,NA
euro_champs,NA,Eamon Montgomery,IRL,14,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA
euro_champs,NA,Anze Hribar,SVN,13.933,NA,NA,NA,NA,13.933,NA,NA,NA,NA,NA,NA
euro_champs,NA,Gregor Rakovic,SVN,NA,13.933,NA,NA,NA,13.933,NA,NA,NA,NA,NA,NA
euro_champs,NA,Harutyun Merdinyan,ARM,NA,13.9,NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA
euro_champs,NA,Matvei Petrov,ALB,NA,13.833,NA,NA,NA,13.833,NA,NA,NA,NA,NA,NA
euro_champs,NA,Marko Sambolec,HRV,NA,13.766,NA,NA,NA,13.766,NA,NA,NA,NA,NA,NA
euro_champs,NA,Dmitrijs Mickevics,LVA,NA,13.566,NA,NA,NA,13.566,NA,NA,NA,NA,NA,NA
euro_champs,NA,Ivan Dejanovic,SRB,NA,NA,NA,NA,13.5,13.5,NA,NA,NA,NA,NA,NA
euro_champs,NA,Andrei Muntean,ROU,NA,NA,NA,NA,NA,13.466,NA,NA,NA,NA,NA,NA
euro_champs,NA,Sokratis Pilakouris,CYP,NA,NA,13.333,NA,NA,13.333,NA,NA,NA,NA,NA,NA
euro_champs,NA,William Sundell,SWE,NA,13.033,NA,NA,NA,13.033,NA,NA,NA,NA,NA,NA
euro_champs,NA,Luka Bojanc,SVN,NA,NA,12.9,NA,NA,12.9,NA,NA,NA,NA,NA,NA
euro_champs,NA,Mateo Zugec,HRV,NA,12.9,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA
euro_champs,NA,Radomir Sliz,CZE,NA,12.866,NA,NA,NA,12.866,NA,NA,NA,NA,NA,NA
euro_champs,NA,Christos Tsingelidis,GRC,NA,NA,12.866,NA,NA,12.866,NA,NA,NA,NA,NA,NA
euro_champs,NA,Ron Pyatov,ISR,NA,NA,NA,NA,NA,12.733,NA,NA,NA,NA,NA,NA
euro_champs,NA,Pavel Titov,FIN,NA,12.4,NA,NA,NA,12.4,NA,NA,NA,NA,NA,NA
euro_champs,F,Luke Whitehouse,GBR,14.866,NA,NA,14.3,NA,NA,6.5,NA,NA,5.6,NA,NA
euro_champs,F,Artem Dolgopyat,ISR,14.833,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
euro_champs,F,Krisztofer Meszaros,HUN,14.6,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA
euro_champs,F,Unai Baigorri,ESP,14.233,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA
euro_champs,F,Léo Saladino,FRA,14.066,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
euro_champs,F,Jake Jarman,GBR,13.966,NA,NA,15,NA,NA,6.3,NA,NA,6,NA,NA
euro_champs,F,Nicolau Mir,ESP,13.666,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA
euro_champs,F,Jim Zona,FRA,12.933,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA
euro_champs,F,Rhys McClenaghan,IRL,NA,15.3,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
euro_champs,F,Loran de Munck,NLD,NA,14.933,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
euro_champs,F,Marios Georgiou,CYP,NA,14.8,NA,NA,14.366,NA,NA,6.2,NA,NA,6.1,5.9
euro_champs,F,Matteo Giubellini,CHE,NA,14.6,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA
euro_champs,F,Filip Ude,HRV,NA,14.533,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA
euro_champs,F,Levan Skhiladze,GEO,NA,14.233,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA
euro_champs,F,Oleg Verniaiev,UKR,NA,14.2,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA
euro_champs,F,Ilia Liubimov,ISR,NA,13.133,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA
euro_champs,F,Gagik Khachikyan,ARM,NA,12.466,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA
euro_champs,F,Eleftherios Petrounias,GRC,NA,NA,15,NA,NA,NA,NA,NA,6.3,NA,NA,NA
euro_champs,F,Nikita Simonov,AZE,NA,NA,14.9,NA,NA,NA,NA,NA,6.2,NA,NA,NA
euro_champs,F,Adem Asil,TUR,NA,NA,14.9,NA,NA,NA,NA,NA,6.3,NA,NA,NA
euro_champs,F,Artur Avetisyan,ARM,NA,NA,14.8,NA,NA,NA,NA,NA,6.1,NA,NA,NA
euro_champs,F,Vinzenz Höck,AUT,NA,NA,14.8,NA,NA,NA,NA,NA,6.1,NA,NA,NA
euro_champs,F,Courtney Tulloch,GBR,NA,NA,14.7,NA,NA,NA,NA,NA,6,NA,NA,NA
euro_champs,F,Salvatore Maresca,ITA,NA,NA,14.566,NA,NA,NA,NA,NA,6.2,NA,NA,NA
euro_champs,F,Ibrahim Colak,TUR,NA,NA,14.5,NA,NA,NA,NA,NA,5.9,NA,NA,NA
euro_champs,F,Artur Davtyan,ARM,NA,NA,NA,15.1,NA,NA,NA,NA,NA,5.6,NA,NA
euro_champs,F,Nazar Chepurnyi,UKR,NA,NA,NA,14.766,NA,NA,NA,NA,NA,5.6,6.3,NA
euro_champs,F,Igor Radivilov,UKR,NA,NA,NA,14.8,NA,NA,NA,NA,NA,5.6,NA,NA
euro_champs,F,Dominick Cunningham,IRL,NA,NA,NA,14.133,NA,NA,NA,NA,NA,5.2,NA,NA
euro_champs,F,Casimir Schmidt,NLD,NA,NA,NA,13.933,NA,NA,NA,NA,NA,5.6,NA,NA
euro_champs,F,Luca Giubellini,CHE,NA,NA,NA,14.366,NA,NA,NA,NA,NA,5.6,NA,NA
euro_champs,F,Illia Kovtun,UKR,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,6.9,5.9
euro_champs,F,Noe Seifert,CHE,NA,NA,NA,NA,14.266,NA,NA,NA,NA,NA,6.3,6
euro_champs,F,Cameron-Lie Bernard,FRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA
euro_champs,F,James Hall,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA
euro_champs,F,Mario Macchiati,ITA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA
euro_champs,F,Thierno Diallo,ESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA
euro_champs,F,Robert Tvorogal,LTU,NA,NA,NA,NA,14.566,NA,NA,NA,NA,NA,NA,5.8
euro_champs,F,Alexander Myakinin,ISR,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA,NA,5.9
euro_champs,F,Tin Srbic,HRV,NA,NA,NA,NA,14.066,NA,NA,NA,NA,NA,NA,5.5
euro_champs,F,Yumin Abbadini,ITA,NA,NA,NA,NA,13.833,NA,NA,NA,NA,NA,NA,6.1
euro_champs,F,Joel Plata,ESP,NA,NA,NA,NA,13.366,NA,NA,NA,NA,NA,NA,5.9
